
TTD - Therapeutic Targets Database Full Data Download File
Title - KEGG pathway data for all TTD targets
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	KEGG pathway ID	KEGG pathway name
T00039	hsa04390	Hippo signaling pathway
T00140	hsa00590	Arachidonic acid metabolism
T00140	hsa01100	Metabolic pathways
T00140	hsa04726	Serotonergic synapse
T00140	hsa04913	Ovarian steroidogenesis
T00140	hsa05145	Toxoplasmosis
T00176	hsa04068	FoxO signaling pathway
T00176	hsa04110	Cell cycle
T00176	hsa04115	p53 signaling pathway
T00176	hsa04120	Ubiquitin mediated proteolysis
T00176	hsa04144	Endocytosis
T00176	hsa04151	PI3K-Akt signaling pathway
T00176	hsa04919	Thyroid hormone signaling pathway
T00176	hsa05169	Epstein-Barr virus infection
T00176	hsa05200	Pathways in cancer
T00176	hsa05202	Transcriptional misregulation in cancer
T00176	hsa05203	Viral carcinogenesis
T00176	hsa05205	Proteoglycans in cancer
T00176	hsa05206	MicroRNAs in cancer
T00176	hsa05214	Glioma
T00176	hsa05215	Prostate cancer
T00176	hsa05218	Melanoma
T00176	hsa05219	Bladder cancer
T00176	hsa05220	Chronic myeloid leukemia
T00238	hsa04010	MAPK signaling pathway
T00238	hsa04064	NF-kappa B signaling pathway
T00238	hsa04380	Osteoclast differentiation
T00238	hsa05134	Legionellosis
T00238	hsa05166	HTLV-I infection
T00238	hsa05169	Epstein-Barr virus infection
T00238	hsa05200	Pathways in cancer
T00238	hsa05203	Viral carcinogenesis
T00239	hsa04060	Cytokine-cytokine receptor interaction
T00239	hsa04151	PI3K-Akt signaling pathway
T00239	hsa04630	Jak-STAT signaling pathway
T00239	hsa04640	Hematopoietic cell lineage
T00239	hsa04660	T cell receptor signaling pathway
T00239	hsa04664	Fc epsilon RI signaling pathway
T00239	hsa04672	Intestinal immune network for IgA production
T00239	hsa05140	Leishmaniasis
T00239	hsa05162	Measles
T00239	hsa05310	Asthma
T00239	hsa05320	Autoimmune thyroid disease
T00239	hsa05321	Inflammatory bowel disease (IBD)
T00239	hsa05330	Allograft rejection
T00484	hsa04060	Cytokine-cytokine receptor interaction
T00484	hsa04630	Jak-STAT signaling pathway
T00484	hsa05321	Inflammatory bowel disease (IBD)
T00494	hsa02010	ABC transporters
T00494	hsa04975	Fat digestion and absorption
T00564	hsa04010	MAPK signaling pathway
T00564	hsa04550	Signaling pathways regulating pluripotency of stem cells
T00663	hsa04010	MAPK signaling pathway
T00663	hsa04012	ErbB signaling pathway
T00663	hsa04014	Ras signaling pathway
T00663	hsa04024	cAMP signaling pathway
T00663	hsa04068	FoxO signaling pathway
T00663	hsa04071	Sphingolipid signaling pathway
T00663	hsa04141	Protein processing in endoplasmic reticulum
T00663	hsa04310	Wnt signaling pathway
T00663	hsa04380	Osteoclast differentiation
T00663	hsa04510	Focal adhesion
T00663	hsa04620	Toll-like receptor signaling pathway
T00663	hsa04621	NOD-like receptor signaling pathway
T00663	hsa04622	RIG-I-like receptor signaling pathway
T00663	hsa04664	Fc epsilon RI signaling pathway
T00663	hsa04668	TNF signaling pathway
T00663	hsa04722	Neurotrophin signaling pathway
T00663	hsa04723	Retrograde endocannabinoid signaling
T00663	hsa04728	Dopaminergic synapse
T00663	hsa04750	Inflammatory mediator regulation of TRP channels
T00663	hsa04910	Insulin signaling pathway
T00663	hsa04912	GnRH signaling pathway
T00663	hsa04914	Progesterone-mediated oocyte maturation
T00663	hsa04917	Prolactin signaling pathway
T00663	hsa04920	Adipocytokine signaling pathway
T00663	hsa04930	Type II diabetes mellitus
T00663	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
T00663	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
T00663	hsa05131	Shigellosis
T00663	hsa05132	Salmonella infection
T00663	hsa05133	Pertussis
T00663	hsa05142	Chagas disease (American trypanosomiasis)
T00663	hsa05145	Toxoplasmosis
T00663	hsa05152	Tuberculosis
T00663	hsa05160	Hepatitis C
T00663	hsa05161	Hepatitis B
T00663	hsa05164	Influenza A
T00663	hsa05168	Herpes simplex infection
T00663	hsa05169	Epstein-Barr virus infection
T00663	hsa05200	Pathways in cancer
T00663	hsa05210	Colorectal cancer
T00663	hsa05212	Pancreatic cancer
T00663	hsa05231	Choline metabolism in cancer
T00820	hsa04911	Insulin secretion
T00820	hsa04930	Type II diabetes mellitus
T00884	hsa04060	Cytokine-cytokine receptor interaction
T00884	hsa04062	Chemokine signaling pathway
T00884	hsa04144	Endocytosis
T00884	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
T00895	hsa04022	cGMP-PKG signaling pathway
T00895	hsa04071	Sphingolipid signaling pathway
T00895	hsa04270	Vascular smooth muscle contraction
T00895	hsa04530	Tight junction
T00895	hsa04664	Fc epsilon RI signaling pathway
T00895	hsa04666	Fc gamma R-mediated phagocytosis
T00895	hsa04750	Inflammatory mediator regulation of TRP channels
T00895	hsa04930	Type II diabetes mellitus
T00895	hsa05206	MicroRNAs in cancer
T00902	hsa04010	MAPK signaling pathway
T00902	hsa04722	Neurotrophin signaling pathway
