
TTD - Therapeutic Targets Database Full Data Download File
Title - KEGG pathway data for TTD successful targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	KEGG pathway ID	KEGG pathway name
T00140	hsa00590	Arachidonic acid metabolism
T00140	hsa01100	Metabolic pathways
T00140	hsa04726	Serotonergic synapse
T00140	hsa04913	Ovarian steroidogenesis
T00140	hsa05145	Toxoplasmosis
T00494	hsa02010	ABC transporters
T00494	hsa04975	Fat digestion and absorption
T00884	hsa04060	Cytokine-cytokine receptor interaction
T00884	hsa04062	Chemokine signaling pathway
T00884	hsa04144	Endocytosis
T00884	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
T00895	hsa04022	cGMP-PKG signaling pathway
T00895	hsa04071	Sphingolipid signaling pathway
T00895	hsa04270	Vascular smooth muscle contraction
T00895	hsa04530	Tight junction
T00895	hsa04664	Fc epsilon RI signaling pathway
T00895	hsa04666	Fc gamma R-mediated phagocytosis
T00895	hsa04750	Inflammatory mediator regulation of TRP channels
T00895	hsa04930	Type II diabetes mellitus
T00895	hsa05206	MicroRNAs in cancer
T01318	hsa00240	Pyrimidine metabolism
T01318	hsa01100	Metabolic pathways
T01777	hsa04022	cGMP-PKG signaling pathway
T01777	hsa04080	Neuroactive ligand-receptor interaction
T02001	hsa00230	Purine metabolism
T02001	hsa04024	cAMP signaling pathway
T02001	hsa05032	Morphine addiction
T02318	hsa04060	Cytokine-cytokine receptor interaction
T02318	hsa04064	NF-kappa B signaling pathway
T02318	hsa04672	Intestinal immune network for IgA production
T02318	hsa05323	Rheumatoid arthritis
T02333	hsa04060	Cytokine-cytokine receptor interaction
T02333	hsa04080	Neuroactive ligand-receptor interaction
T02333	hsa04151	PI3K-Akt signaling pathway
T02333	hsa04630	Jak-STAT signaling pathway
T02551	hsa04080	Neuroactive ligand-receptor interaction
T02551	hsa04728	Dopaminergic synapse
T02808	hsa04060	Cytokine-cytokine receptor interaction
T02808	hsa04151	PI3K-Akt signaling pathway
T02808	hsa04380	Osteoclast differentiation
T02808	hsa04620	Toll-like receptor signaling pathway
T02808	hsa04622	RIG-I-like receptor signaling pathway
T02808	hsa04623	Cytosolic DNA-sensing pathway
T02808	hsa04630	Jak-STAT signaling pathway
T02808	hsa04650	Natural killer cell mediated cytotoxicity
T02808	hsa05142	Chagas disease (American trypanosomiasis)
T02808	hsa05152	Tuberculosis
T02808	hsa05160	Hepatitis C
T02808	hsa05161	Hepatitis B
T02808	hsa05162	Measles
T02808	hsa05164	Influenza A
T02808	hsa05168	Herpes simplex infection
T03313	hsa04060	Cytokine-cytokine receptor interaction
T03313	hsa04144	Endocytosis
T03313	hsa04151	PI3K-Akt signaling pathway
T03313	hsa04630	Jak-STAT signaling pathway
T03313	hsa04640	Hematopoietic cell lineage
T03313	hsa05162	Measles
T03313	hsa05166	HTLV-I infection
T03346	hsa04060	Cytokine-cytokine receptor interaction
T03346	hsa04151	PI3K-Akt signaling pathway
T03346	hsa04630	Jak-STAT signaling pathway
T03346	hsa04640	Hematopoietic cell lineage
T03346	hsa05321	Inflammatory bowel disease (IBD)
T03661	hsa00230	Purine metabolism
T03661	hsa01100	Metabolic pathways
T03661	hsa05340	Primary immunodeficiency
T03691	hsa00590	Arachidonic acid metabolism
T03691	hsa01100	Metabolic pathways
T03917	hsa04022	cGMP-PKG signaling pathway
T03917	hsa04024	cAMP signaling pathway
T03917	hsa04260	Cardiac muscle contraction
T03917	hsa04261	Adrenergic signaling in cardiomyocytes
T03917	hsa04911	Insulin secretion
T03917	hsa04918	Thyroid hormone synthesis
T03917	hsa04919	Thyroid hormone signaling pathway
T03917	hsa04960	Aldosterone-regulated sodium reabsorption
T03917	hsa04961	Endocrine and other factor-regulated calcium reabsorption
T03917	hsa04964	Proximal tubule bicarbonate reclamation
T03917	hsa04970	Salivary secretion
T03917	hsa04971	Gastric acid secretion
T03917	hsa04972	Pancreatic secretion
T03917	hsa04973	Carbohydrate digestion and absorption
T03917	hsa04974	Protein digestion and absorption
T03917	hsa04976	Bile secretion
T03917	hsa04978	Mineral absorption
T05849	hsa04020	Calcium signaling pathway
T05849	hsa04080	Neuroactive ligand-receptor interaction
T05849	hsa04971	Gastric acid secretion
T06273	hsa03410	Base excision repair
T06273	hsa04064	NF-kappa B signaling pathway
T06421	hsa04060	Cytokine-cytokine receptor interaction
T06421	hsa04151	PI3K-Akt signaling pathway
T06421	hsa04380	Osteoclast differentiation
T06421	hsa04620	Toll-like receptor signaling pathway
T06421	hsa04630	Jak-STAT signaling pathway
T06421	hsa04650	Natural killer cell mediated cytotoxicity
T06421	hsa05160	Hepatitis C
T06421	hsa05161	Hepatitis B
T06421	hsa05162	Measles
T06421	hsa05164	Influenza A
T06421	hsa05168	Herpes simplex infection
T06569	hsa00910	Nitrogen metabolism
T06841	hsa04060	Cytokine-cytokine receptor interaction
T06841	hsa04620	Toll-like receptor signaling pathway
T06841	hsa04622	RIG-I-like receptor signaling pathway
T06841	hsa04630	Jak-STAT signaling pathway
T06841	hsa04940	Type I diabetes mellitus
T06841	hsa05133	Pertussis
T06841	hsa05134	Legionellosis
T06841	hsa05140	Leishmaniasis
T06841	hsa05142	Chagas disease (American trypanosomiasis)
T06841	hsa05143	African trypanosomiasis
T06841	hsa05144	Malaria
T06841	hsa05145	Toxoplasmosis
T06841	hsa05146	Amoebiasis
T06841	hsa05152	Tuberculosis
T06841	hsa05162	Measles
T06841	hsa05164	Influenza A
T06841	hsa05168	Herpes simplex infection
T06841	hsa05321	Inflammatory bowel disease (IBD)
T06841	hsa05330	Allograft rejection
T06955	hsa04060	Cytokine-cytokine receptor interaction
T06955	hsa04062	Chemokine signaling pathway
T06955	hsa05203	Viral carcinogenesis
T07137	mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis
T07137	mmu00350	Tyrosine metabolism
T07137	mmu00360	Phenylalanine metabolism
T07137	mmu01100	Metabolic pathways
T07173	hsa04010	MAPK signaling pathway
T07173	hsa04144	Endocytosis
T07173	hsa04210	Apoptosis
T07173	hsa04722	Neurotrophin signaling pathway
