
TTD - Therapeutic Targets Database Full Data Download File
Title - KEGG pathway data for TTD research targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	KEGG pathway ID	KEGG pathway name
T00564	hsa04010	MAPK signaling pathway
T00564	hsa04550	Signaling pathways regulating pluripotency of stem cells
T00820	hsa04911	Insulin secretion
T00820	hsa04930	Type II diabetes mellitus
T00902	hsa04010	MAPK signaling pathway
T00902	hsa04722	Neurotrophin signaling pathway
T02134	hsa00480	Glutathione metabolism
T02134	hsa01100	Metabolic pathways
T04084	hsa04012	ErbB signaling pathway
T04084	hsa04020	Calcium signaling pathway
T04084	hsa04144	Endocytosis
T04084	hsa05205	Proteoglycans in cancer
T04084	hsa05206	MicroRNAs in cancer
T04945	hsa04010	MAPK signaling pathway
T04945	hsa04060	Cytokine-cytokine receptor interaction
T04945	hsa04115	p53 signaling pathway
T04945	hsa04210	Apoptosis
T04945	hsa04650	Natural killer cell mediated cytotoxicity
T04945	hsa04668	TNF signaling pathway
T04945	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
T04945	hsa04940	Type I diabetes mellitus
T04945	hsa05010	Alzheimer's disease
T04945	hsa05142	Chagas disease (American trypanosomiasis)
T04945	hsa05143	African trypanosomiasis
T04945	hsa05161	Hepatitis B
T04945	hsa05162	Measles
T04945	hsa05164	Influenza A
T04945	hsa05168	Herpes simplex infection
T04945	hsa05200	Pathways in cancer
T04945	hsa05205	Proteoglycans in cancer
T04945	hsa05320	Autoimmune thyroid disease
T04945	hsa05330	Allograft rejection
T04945	hsa05332	Graft-versus-host disease
T05034	hsa00250	Alanine, aspartate and glutamate metabolism
T05034	hsa00270	Cysteine and methionine metabolism
T05034	hsa00330	Arginine and proline metabolism
T05034	hsa00350	Tyrosine metabolism
T05034	hsa00360	Phenylalanine metabolism
T05034	hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis
T05034	hsa01100	Metabolic pathways
T05034	hsa01130	Biosynthesis of antibiotics
T05034	hsa01200	Carbon metabolism
T05034	hsa01210	2-Oxocarboxylic acid metabolism
T05034	hsa01230	Biosynthesis of amino acids
T05034	hsa04975	Fat digestion and absorption
T05722	hsa00010	Glycolysis / Gluconeogenesis
T05722	hsa00040	Pentose and glucuronate interconversions
T05722	hsa00561	Glycerolipid metabolism
T05722	hsa01100	Metabolic pathways
T05722	hsa01130	Biosynthesis of antibiotics
T05722	hsa01220	Degradation of aromatic compounds
T06037	hsa04010	MAPK signaling pathway
T06037	hsa04012	ErbB signaling pathway
T06037	hsa04014	Ras signaling pathway
T06037	hsa04024	cAMP signaling pathway
T06037	hsa04068	FoxO signaling pathway
T06037	hsa04071	Sphingolipid signaling pathway
T06037	hsa04141	Protein processing in endoplasmic reticulum
T06037	hsa04310	Wnt signaling pathway
T06037	hsa04380	Osteoclast differentiation
T06037	hsa04510	Focal adhesion
T06037	hsa04620	Toll-like receptor signaling pathway
T06037	hsa04621	NOD-like receptor signaling pathway
T06037	hsa04622	RIG-I-like receptor signaling pathway
T06037	hsa04660	T cell receptor signaling pathway
T06037	hsa04664	Fc epsilon RI signaling pathway
T06037	hsa04668	TNF signaling pathway
T06037	hsa04722	Neurotrophin signaling pathway
T06037	hsa04723	Retrograde endocannabinoid signaling
T06037	hsa04728	Dopaminergic synapse
T06037	hsa04750	Inflammatory mediator regulation of TRP channels
T06037	hsa04910	Insulin signaling pathway
T06037	hsa04912	GnRH signaling pathway
T06037	hsa04914	Progesterone-mediated oocyte maturation
T06037	hsa04917	Prolactin signaling pathway
T06037	hsa04920	Adipocytokine signaling pathway
T06037	hsa04930	Type II diabetes mellitus
T06037	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
