
TTD - Therapeutic Targets Database Full Data Download File
Title - Wiki pathway data for TTD successful targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	Wiki pathway ID	Wiki pathway name
T00140	WP2877	Vitamin D Receptor Pathway
T00140	WP2650	Arachidonic acid metabolism
T00140	WP167	Eicosanoid Synthesis
T00140	WP15	Selenium Micronutrient Network
T00494	WP430	Statin Pathway
T00494	WP299	Nuclear Receptors in Lipid Metabolism and Toxicity
T00494	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
T00494	WP2764	Lipid digestion, mobilization, and transport
T00494	WP2011	SREBF and miR33 in cholesterol and lipid homeostasis
T00494	WP176	Folate Metabolism
T00494	WP1533	Vitamin B12 Metabolism
T00494	WP15	Selenium Micronutrient Network
T00884	WP455	GPCRs, Class A Rhodopsin-like
T00884	WP2848	Differentiation Pathway
T00884	WP24	Peptide GPCRs
T00884	WP1825	GPCR ligand binding
T00884	WP1824	GPCR downstream signaling
T00884	WP117	GPCRs, Other
T00895	WP666	Hypothetical Network for Drug Addiction
T00895	WP536	Calcium Regulation in the Cardiac Cell
T00895	WP428	Wnt Signaling Pathway
T00895	WP399	Wnt Signaling Pathway and Pluripotency
T00895	WP35	G Protein Signaling Pathways
T00895	WP289	Myometrial Relaxation and Contraction Pathways
T00895	WP2374	Oncostatin M Signaling Pathway
T00895	WP2012	miRs in Muscle Cell Differentiation
T00895	WP1824	GPCR downstream signaling
T00895	WP1809	Effects of PIP2 hydrolysis
T00895	WP1528	Physiological and Pathological Hypertrophy  of the Heart
T01318	WP1851	Metabolism of nucleotides
T01777	WP58	Monoamine GPCRs
T01777	WP455	GPCRs, Class A Rhodopsin-like
T01777	WP1884	Platelet Aggregation (Plug Formation)
T01777	WP1831	Integration of energy metabolism
T01777	WP1825	GPCR ligand binding
T01777	WP1824	GPCR downstream signaling
T02001	WP35	G Protein Signaling Pathways
T02001	WP289	Myometrial Relaxation and Contraction Pathways
T02001	WP2032	TSH signaling pathway
T02318	WP2431	Spinal Cord Injury
T02333	WP474	Endochondral Ossification
T02333	WP2678	Prolactin receptor signaling
T02333	WP2657	Growth hormone receptor signaling
T02551	WP58	Monoamine GPCRs
T02551	WP455	GPCRs, Class A Rhodopsin-like
T02551	WP1825	GPCR ligand binding
T02551	WP1824	GPCR downstream signaling
T02551	WP1602	Nicotine Activity on Dopaminergic Neurons
T02551	WP117	GPCRs, Other
T02808	WP75	Toll-like receptor signaling pathway
T02808	WP619	Type II interferon signaling (IFNG)
T02808	WP615	Senescence and Autophagy in Cancer
T02808	WP530	Cytokines and Inflammatory Response
T02808	WP262	EBV LMP1 signaling
T02808	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T02808	WP1835	Interferon alpha/beta signaling
T02808	WP1449	Regulation of toll-like receptor signaling pathway
T02808	WP12	Osteoclast Signaling
T03313	WP49	IL-2 Signaling Pathway
T03313	WP453	Inflammatory Response Pathway
T03313	WP2732	Interleukin-2 signaling
T03313	WP2328	Allograft Rejection
T03313	WP2203	TSLP Signaling Pathway
T03313	WP205	IL-7 Signaling Pathway
T03313	WP1840	Interleukin-3, 5 and GM-CSF signaling
T03346	WP453	Inflammatory Response Pathway
T03346	WP395	IL-4 Signaling Pathway
T03661	WP1851	Metabolism of nucleotides
T03691	WP2650	Arachidonic acid metabolism
T03691	WP167	Eicosanoid Synthesis
T05849	WP455	GPCRs, Class A Rhodopsin-like
T05849	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
T05849	WP2597	Secretion of Hydrochloric Acid in Parietal Cells
T05849	WP24	Peptide GPCRs
T05849	WP1825	GPCR ligand binding
T05849	WP1824	GPCR downstream signaling
T05849	WP117	GPCRs, Other
T06273	WP314	FAS pathway and Stress induction of HSP regulation
T06273	WP2755	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
T06273	WP2513	Nanoparticle triggered regulated necrosis
T06273	WP2355	Corticotropin-releasing hormone
T06421	WP75	Toll-like receptor signaling pathway
T06421	WP585	Interferon type I signaling pathways
T06421	WP1835	Interferon alpha/beta signaling
T06421	WP1449	Regulation of toll-like receptor signaling pathway
T06421	WP12	Osteoclast Signaling
T06569	WP2770	Reversible Hydration of Carbon Dioxide
T06841	WP75	Toll-like receptor signaling pathway
T06841	WP2873	Aryl Hydrocarbon Receptor Pathway
T06841	WP2328	Allograft Rejection
T06841	WP1449	Regulation of toll-like receptor signaling pathway
T06955	WP455	GPCRs, Class A Rhodopsin-like
T06955	WP24	Peptide GPCRs
T06955	WP1825	GPCR ligand binding
T06955	WP1824	GPCR downstream signaling
T07173	WP382	MAPK Signaling Pathway
T07173	WP2380	BDNF signaling pathway
T07173	WP2377	Integrated Pancreatic Cancer Pathway
T07173	WP1873	NGF signalling via TRKA from the plasma membrane
T07806	WP722	Serotonin HTR1 Group and FOS Pathway
T07806	WP58	Monoamine GPCRs
T07806	WP455	GPCRs, Class A Rhodopsin-like
T07806	WP1825	GPCR ligand binding
T07806	WP1824	GPCR downstream signaling
T08391	WP733	Serotonin Receptor 2 and STAT3 Signaling
T08391	WP619	Type II interferon signaling (IFNG)
T08391	WP61	Notch Signaling Pathway
T08391	WP581	EPO Receptor Signaling
