
TTD - Therapeutic Targets Database Full Data Download File
Title - Wiki pathway data for TTD clinical trial targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	Wiki pathway ID	Wiki pathway name
T00033	WP673	ErbB Signaling Pathway
T00033	WP2884	NRF2 pathway
T00033	WP2882	Nuclear Receptors Meta-Pathway
T00033	WP2870	Extracellular vesicle-mediated signaling in recipient cells
T00039	WP2840	Hair Follicle Development: Cytodifferentiation (Part 3 of 3)
T00039	WP2804	Hair Follicle Development: Induction (Part 1 of 3)
T00039	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
T00039	WP2738	YAP1- and WWTR1 (TAZ)-stimulated gene expression
T00156	WP1868	Netrin-1 signaling
T00176	WP710	DNA Damage Response (only ATM dependent)
T00176	WP707	DNA Damage Response
T00176	WP673	ErbB Signaling Pathway
T00176	WP615	Senescence and Autophagy in Cancer
T00176	WP465	Tryptophan metabolism
T00176	WP45	G1 to S cell cycle control
T00176	WP3286	Copper homeostasis
T00176	WP2828	Bladder Cancer
T00176	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell
T00176	WP2653	PIP3 activates AKT signaling
T00176	WP254	Apoptosis
T00176	WP2516	ATM Signaling Pathway
T00176	WP2446	Retinoblastoma (RB) in Cancer
T00176	WP2377	Integrated Pancreatic Cancer Pathway
T00176	WP2263	Prostate Cancer
T00176	WP2261	Signaling Pathways in Glioblastoma
T00176	WP1984	Integrated Breast Cancer Pathway
T00176	WP1971	Integrated Cancer pathway
T00176	WP179	Cell Cycle
