
TTD - Therapeutic Targets Database Full Data Download File
Title - Wiki pathway data for TTD patented targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	Wiki pathway ID	Wiki pathway name
T00663	WP75	Toll-like receptor signaling pathway
T00663	WP710	DNA Damage Response (only ATM dependent)
T00663	WP524	G13 Signaling Pathway
T00663	WP481	Insulin Signaling
T00663	WP428	Wnt Signaling Pathway
T00663	WP422	MAPK Cascade
T00663	WP408	Oxidative Stress
T00663	WP399	Wnt Signaling Pathway and Pluripotency
T00663	WP384	Apoptosis Modulation by HSP70
T00663	WP382	MAPK Signaling Pathway
T00663	WP2643	Nanoparticle-mediated activation of receptor signaling
T00663	WP2637	Structural Pathway of Interleukin 1 (IL-1)
T00663	WP254	Apoptosis
T00663	WP2380	BDNF signaling pathway
T00663	WP185	Integrin-mediated Cell Adhesion
T00663	WP1449	Regulation of toll-like receptor signaling pathway
T03818	WP363	Wnt Signaling Pathway Netpath
T03818	WP299	Nuclear Receptors in Lipid Metabolism and Toxicity
T03818	WP2895	Differentiation of white and brown adipocyte   
T03818	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
T03818	WP2751	Transcriptional Regulation of White Adipocyte Differentiation
T03818	WP236	Adipogenesis
T03818	WP1982	SREBP signalling
T03818	WP170	Nuclear Receptors
T07217	WP2764	Lipid digestion, mobilization, and transport
T07217	WP2751	Transcriptional Regulation of White Adipocyte Differentiation
T10822	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
