
TTD - Therapeutic Targets Database Full Data Download File
Title - Wiki pathway data for TTD reasearch targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	Wiki pathway ID	Wiki pathway name
T00299	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell
T00299	WP1602	Nicotine Activity on Dopaminergic Neurons
T00820	WP2669	Potassium Channels
T00820	WP1831	Integration of energy metabolism
T00820	WP1584	Type II diabetes mellitus
T00902	WP382	MAPK Signaling Pathway
T00902	WP2848	Differentiation Pathway
T02134	WP3	Transcriptional activation by NRF2
T02134	WP2884	NRF2 pathway
T02134	WP2882	Nuclear Receptors Meta-Pathway
T02134	WP2693	Metabolism of amino acids and derivatives
T02134	WP2525	Trans-sulfuration and one carbon metabolism
T02134	WP2333	Trans-sulfuration pathway
T02134	WP1880	Phase II conjugation
T02134	WP100	Glutathione metabolism
T04084	WP673	ErbB Signaling Pathway
T04084	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
T04084	WP2261	Signaling Pathways in Glioblastoma
T04084	WP2005	miR-targeted genes in muscle cell - TarBase
T04084	WP1591	Heart Development
T04361	WP75	Toll-like receptor signaling pathway
T04361	WP710	DNA Damage Response (only ATM dependent)
T04361	WP69	TCR Signaling Pathway
T04361	WP481	Insulin Signaling
T04361	WP400	p38 MAPK Signaling Pathway
T04361	WP399	Wnt Signaling Pathway and Pluripotency
T04361	WP382	MAPK Signaling Pathway
T04361	WP366	TGF beta Signaling Pathway
T04361	WP364	IL-6 signaling pathway
T04361	WP314	FAS pathway and Stress induction of HSP regulation
T04361	WP288	NLR Proteins
T04361	WP2801	MyD88 cascade initiated on plasma membrane
T04361	WP2795	Cardiac Hypertrophic Response
T04361	WP2792	MAP kinase activation in TLR cascade
T04361	WP2768	MyD88 dependent cascade initiated on endosome
T04361	WP2763	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
T04361	WP2761	MyD88:Mal cascade initiated on plasma membrane
T04361	WP2759	Fc epsilon receptor (FCERI) signaling
T04361	WP2752	MyD88-independent cascade 
T04361	WP2746	Signaling by the B Cell Receptor (BCR)
