
TTD - Therapeutic Targets Database Full Data Download File
Title - KEGG pathway data for TTD clinical trial targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	KEGG pathway ID	KEGG pathway name
T00039	hsa04390	Hippo signaling pathway
T00176	hsa04068	FoxO signaling pathway
T00176	hsa04110	Cell cycle
T00176	hsa04115	p53 signaling pathway
T00176	hsa04120	Ubiquitin mediated proteolysis
T00176	hsa04144	Endocytosis
T00176	hsa04151	PI3K-Akt signaling pathway
T00176	hsa04919	Thyroid hormone signaling pathway
T00176	hsa05169	Epstein-Barr virus infection
T00176	hsa05200	Pathways in cancer
T00176	hsa05202	Transcriptional misregulation in cancer
T00176	hsa05203	Viral carcinogenesis
T00176	hsa05205	Proteoglycans in cancer
T00176	hsa05206	MicroRNAs in cancer
T00176	hsa05214	Glioma
T00176	hsa05215	Prostate cancer
T00176	hsa05218	Melanoma
T00176	hsa05219	Bladder cancer
T00176	hsa05220	Chronic myeloid leukemia
T00238	hsa04010	MAPK signaling pathway
T00238	hsa04064	NF-kappa B signaling pathway
T00238	hsa04380	Osteoclast differentiation
T00238	hsa05134	Legionellosis
T00238	hsa05166	HTLV-I infection
T00238	hsa05169	Epstein-Barr virus infection
T00238	hsa05200	Pathways in cancer
T00238	hsa05203	Viral carcinogenesis
T00239	hsa04060	Cytokine-cytokine receptor interaction
T00239	hsa04151	PI3K-Akt signaling pathway
T00239	hsa04630	Jak-STAT signaling pathway
T00239	hsa04640	Hematopoietic cell lineage
T00239	hsa04660	T cell receptor signaling pathway
T00239	hsa04664	Fc epsilon RI signaling pathway
T00239	hsa04672	Intestinal immune network for IgA production
T00239	hsa05140	Leishmaniasis
T00239	hsa05162	Measles
T00239	hsa05310	Asthma
T00239	hsa05320	Autoimmune thyroid disease
T00239	hsa05321	Inflammatory bowel disease (IBD)
T00239	hsa05330	Allograft rejection
T00484	hsa04060	Cytokine-cytokine receptor interaction
T00484	hsa04630	Jak-STAT signaling pathway
T00484	hsa05321	Inflammatory bowel disease (IBD)
T00938	hsa00350	Tyrosine metabolism
T00938	hsa01100	Metabolic pathways
T00938	hsa04916	Melanogenesis
T01283	hsa04144	Endocytosis
T01575	hsa00600	Sphingolipid metabolism
T01575	hsa01100	Metabolic pathways
T01575	hsa04071	Sphingolipid signaling pathway
T01597	hsa00380	Tryptophan metabolism
T01597	hsa00630	Glyoxylate and dicarboxylate metabolism
T01597	hsa01130	Biosynthesis of antibiotics
T01597	hsa04068	FoxO signaling pathway
T01597	hsa04146	Peroxisome
T01597	hsa05014	Amyotrophic lateral sclerosis (ALS)
T01851	hsa04015	Rap1 signaling pathway
T01851	hsa04145	Phagosome
T01851	hsa04151	PI3K-Akt signaling pathway
T01851	hsa04360	Axon guidance
T01851	hsa04510	Focal adhesion
T01851	hsa04512	ECM-receptor interaction
T01851	hsa04514	Cell adhesion molecules (CAMs)
T01851	hsa04611	Platelet activation
T01851	hsa04670	Leukocyte transendothelial migration
T01851	hsa04810	Regulation of actin cytoskeleton
T01851	hsa05100	Bacterial invasion of epithelial cells
T01851	hsa05130	Pathogenic Escherichia coli infection
T01851	hsa05131	Shigellosis
T01851	hsa05133	Pertussis
T01851	hsa05140	Leishmaniasis
T01851	hsa05145	Toxoplasmosis
T01851	hsa05200	Pathways in cancer
T01851	hsa05205	Proteoglycans in cancer
T01851	hsa05222	Small cell lung cancer
T01851	hsa05410	Hypertrophic cardiomyopathy (HCM)
T01851	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
T01851	hsa05414	Dilated cardiomyopathy
T01908	hsa04961	Endocrine and other factor-regulated calcium reabsorption
T01943	pfa00061	Fatty acid biosynthesis
T01943	pfa00780	Biotin metabolism
T01943	pfa01100	Metabolic pathways
T01943	pfa01212	Fatty acid metabolism
T02469	hsa00562	Inositol phosphate metabolism
T02469	hsa01100	Metabolic pathways
T02469	hsa04070	Phosphatidylinositol signaling system
T02469	hsa04145	Phagosome
T02469	hsa04810	Regulation of actin cytoskeleton
T02532	hsa04514	Cell adhesion molecules (CAMs)
T02532	hsa04640	Hematopoietic cell lineage
T02562	hsa00590	Arachidonic acid metabolism
T02562	hsa01100	Metabolic pathways
T02617	hsa04066	HIF-1 signaling pathway
T02617	hsa04978	Mineral absorption
T02677	hsa04390	Hippo signaling pathway
T02677	hsa05161	Hepatitis B
T02677	hsa05200	Pathways in cancer
T02677	hsa05210	Colorectal cancer
T02703	hsa00220	Arginine biosynthesis
T02703	hsa00330	Arginine and proline metabolism
T02703	hsa01100	Metabolic pathways
T02703	hsa04020	Calcium signaling pathway
T02703	hsa04066	HIF-1 signaling pathway
T02703	hsa04146	Peroxisome
T02703	hsa05132	Salmonella infection
T02703	hsa05133	Pertussis
T02703	hsa05140	Leishmaniasis
T02703	hsa05142	Chagas disease (American trypanosomiasis)
T02703	hsa05145	Toxoplasmosis
T02703	hsa05146	Amoebiasis
T02703	hsa05152	Tuberculosis
T02703	hsa05200	Pathways in cancer
T02703	hsa05222	Small cell lung cancer
T02719	hsa04080	Neuroactive ligand-receptor interaction
T02719	hsa04724	Glutamatergic synapse
